// lines for the axes
// first line for colour
// x axis
-1000,0,0,1000,0,0
-1000,0,-200,1000,0,-200
-1000,0,-400,1000,0,-400
-1000,0,-600,1000,0,-600
-1000,0,-800,1000,0,-800
-1000,0,-1000,1000,0,-1000
-1000,0,0,1000,0,0
-1000,0,200,1000,0,200
-1000,0,400,1000,0,400
-1000,0,600,1000,0,600
-1000,0,800,1000,0,800
-1000,0,1000,1000,0,1000
// z axis
-200,0,-1000,-200,0,1000
-400,0,-1000,-400,0,1000
-600,0,-1000,-600,0,1000
-800,0,-1000,-800,0,1000
-1000,0,-1000,-1000,0,1000
0,0,-1000,0,0,1000
200,0,-1000,200,0,1000
400,0,-1000,400,0,1000
600,0,-1000,600,0,1000
800,0,-1000,800,0,1000
1000,0,-1000,1000,0,1000
